,premise,hypothesis,lang_abv,label
17,"Mji wa Massabielle karibu kati ya mji (faubourg de Massabielle), mara nyingi inajulikana kama maarufu zaidi katika mji.",Miji ya Massabielle inajulikana kama ya photogenic zaidi.,sw,0
18,4) Haijulikani kiasi kuhusu jinsi gharama za usafirishaji huathiri kwa mbali.,Njia ambayo usafiri huathiri gharama za usafiri ni mada ambayo hatuna taarifa ya kutosha juu ya.,sw,0
19,Nimekumbuka kitu cha kukutuliza wewe mtoto wa Kibare.,Nimekumbuka kitu cha kukutuliza wewe mtoto wa Kibare.,sw,2
20,Mkataba huo ulikuwa mkataba wa Tommy.,Mkataba huo haukuwa kwa ajili ya Tommy.,sw,2
21,"Kwa hiyo, idadi ya wakulima wanaweza kwa kweli kuongezeka haraka kuliko ilivyotarajiwa.",Idadi ya wafanyabiashara wataongezeka kwa kiasi kikubwa kama ilivyotarajiwa.,sw,2
22,"Wakati Assad anaishi, anaweza kushughulikia matatizo haya na kuhifadhi mkataba na Israel.","Ikiwa Assad haikufa, atakuwa na uwezo wa kuzingatia matatizo.",sw,0
23,Watoto wanne wa Javis? aliuliza Severn.,Shetani anajua kila kitu kuhusu watoto wa Jarvis.,sw,1
24,Maumivu yangu haitaki kusimamia vizuri.,Maumivu yangu haikuwa ya kuongoza vizuri.,sw,0
25,"""Kwa hiyo, msichana wako anaandika kwamba shughuli yako ndogo ya kukimbia haikufanya vizuri sana, eh?"" alisema.",Kazi yako ya faragha haikufanya vizuri.,sw,0
26,"Kwa hiyo, unahitaji kuingia kwa njia hii).",Unahitaji kutembea kwa miguu.,sw,0
27,Mimi kabisa ni pamoja na yako kuchukua Jerry.,“Hatu!” nilikuwa nikisema kwa shoki.,sw,0
28,"Bauerstein alikuwa katika Styles usiku mbaya, na kuongeza: ""Alikuwa alisema mara mbili: 'Hakuna mabadiliko yote.'",Mchakato ni wajibu wa kile kilichotokea.,sw,1
29,"Kwa muda mrefu - au mbali, au kitu chochote - kuna ulimwengu unaitwa Thar? na mwingine unaitwa Erath.",Erath ni ulimwengu pekee aliyekuwa.,sw,2
30,"Baada ya hapo, wakati wote, ilikuwa katika wastani katika chumba cha Ms. Inglethorp, chini ya moyo wetu wenyewe?","Kwa hiyo, ilikuwa imefungwa katika nchi nyingine, haiwezekani kwetu kutafuta?",sw,2
31,kwa sababu mimi daima nilikuwa na kufanya hivyo na hivyo mimi tu kulipa mtu mwingine kufanya hivyo na wao hufanya nini wao hufanya kupunguza wao kuvutia wao um edge na um mimi kufikiri mwaka huu mimi nitakuwa na baadhi ya landscape kuweka katika,Sikuwahi kutengeneza upendo kwa bustani.,sw,1
32,"""Alikuwa na wasiwasi kidogo juu ya safi yake.",Sauce yake ni ngumu sana kwamba ni wasiwasi na kufafanua kila mahali.,sw,1
33,"Badala yake, watoto wa leo si tu bunduki ndogo ya furaha lakini pia ni labda ishara ya mwisho ya mafanikio ya ulimwengu na hali.","Wakati watoto leo ni ishara ya mafanikio na hali, na wazazi wao pia ni.",sw,1
34,Vita vya wenyewe vya China zimetuma ishara ya kuvutia kwa Hong Kong.,Japan imekuwa ikilinganishwa na vita vya wenyewe.,sw,2
35,"Msaada wa saba unatumika kutoka kwa mpango mpya wa kujenga uwezo wa faida katika msingi, sehemu ya mtazamo kati ya wanaharakati wa kutoa fedha ili kusaidia mashirika kuimarisha, badala ya huduma za programu ambayo wanatoa.","Msaada huo unatumika kutoka kwa mpango wa kujenga uwezo wa faida katika msingi, kuonyesha mtazamo kati ya wanaharakati wa kutoa fedha kwa kuongezeka kwa mashirika na kisha kuchukua yao.",sw,1
36,"Au, upatikanaji inaweza kufanyika kwa wale ambao tayari wamekamilika, au angalau kimsingi; kwa wale zaidi ya umri wa miaka 13 au chini ya umri wa miaka 21; au baadhi ya viungo vyao.",Umri wa kukubaliana pia ni umri wa 21.,sw,1
37,"Katika suala hili, kuwakomboa Steve Jobs ili kuokoa Apple ni kama kuwakomboa Gen.",Steve Jobs atakuja kwenye Apple.,sw,0
38,au walikuwa na mtu nyumbani ambaye alikuwa na ugonjwa kwamba walikuwa wanapaswa kuwa na maana wewe siwezi kufanya hivyo kila mtu,Hawakuwa na kitu cha kufanya.,sw,2
39,"Watu wachache, kama vile Pearl K. Bell katika Wall Street Journal, wanatafuta ufafanuzi wa kusimamisha na kusimamisha katika novel na kusema sehemu ni hatari juu ya mipaka ya hisia.",Wao walidhani kwamba hadithi hiyo haukuwa na hisia yoyote.,sw,2
40,"Hakuna wasiwasi, uamuzi mzuri.","Hakuna wasiwasi, sera nzuri.",sw,0
41,"Mtro (subway) ni njia ya haraka zaidi ya kuendesha mji, lakini barabara, wote katika mji mkuu na miji mingine kubwa, ni bora kwa kuchukua katika maonyesho.",Kuendesha gari ni njia nzuri ya kuishi maisha ya miji kubwa.,sw,2
42,Wao walikuwa na uhakika sana juu yao kwamba walikubali kwamba alifanya makosa.”,Alikuwa anajua kwamba alikuwa amefanya makosa.,sw,0
43,mimi ni juu mimi ni katika mfumo wa shule Plano na kuishi katika Richardson na kuna dikotomi halisi katika hali ya elimu na kiuchumi ya watoto ambao wanatarajiwa kutembelea shule hii,Kuna idadi kubwa ya wanafunzi wadogo na wachache wenye utajiri.,sw,1
44,"Nadhani tunapaswa kufanya kitu chochote, na siyo tunapaswa kufanya kitu chochote.","Hiyo ni kweli, sisi tu kuanguka, sivyo?",sw,0
45,"Wao walijitolea rasilimali za asili kwa kutumia sauti ili kutibu samaki, ambayo walijitolea nchi yao ya asili.",Walitumia salama ili kutibu samaki na kurejea nyumbani.,sw,0
46,"Habari inasisitiza watumiaji wa kompyuta kwa kuchagua maneno ya wazi, rahisi na kusahau watumiaji wa mfumo kwa kuzingatia masharti ya msingi ya usalama.",Maonyesho ya habari haina makosa ya watumiaji au watumiaji wa mfumo kwa makosa ya usalama.,sw,2
47,"Kwa bahati nzuri, yeye ni kuonyesha haki yao.",Anaonyesha kwamba walikuwa sahihi.,sw,0
48,Ni vigumu sana kuchagua kutumia McIntyre badala yake.,McIntyre alichaguliwa kutumika kama kifungo cha kufungwa.,sw,1
49,na kitu kingine ni gharama itakuwa karibu haijulikani kuwakaribisha kwa mtumiaji,Ni rahisi kuwakaribisha kwa wateja.,sw,2
50,Kazi ya maisha - Kazi ambayo hutoa usafiri kwa ajili ya maisha yote ya wanasayansi na faida (kazi ya mtu) ni kulipwa tu baada ya kifo cha wanasayansi.,Sera nzima ya maisha ni chaguo bora kwa mtu ambaye anatarajia kuishi hadi umri wa miaka 90.,sw,1
51,"2466, inazungumzia jumuiya nne, ambayo inajumuisha utambulisho wa idadi ya chini ya viungo vya microwave zilizotangulia na kuendesha na usimamizi wa database inayoweza kusoma kwa kompyuta.",2466 kujadili makundi nne.,sw,0
52,"Bahari ya Wanawake, ambayo hutoa hifadhi na upatikanaji kwa waathirika wa dhambi ya ndani, tayari ina mwanasheria kamili.",Kuna mwanasheria wa muda wote katika Hifadhi ya Wanawake tayari.,sw,0
53,Ukosefu wa juu,Hali ya hewa na kiwango cha maji.,sw,0
54,"Tunahitaji kuzingatia madhara ambayo matukio haya tofauti yana juu ya masuala mbalimbali, kama vile ujuzi wa msingi wa SES, viwango vya ufanisi, vyanzo vya ajira, uhamiaji, na mipango ya mafunzo na maendeleo.",Tunaweza kuepuka kabisa athari za majukumu juu ya uendeshaji.,sw,2
55,Yeah yeah yeah vizuri kwa sababu hii ni njia yao wanaweza kuonekana nje lakini mtoto kuna mengi ya kwenda huko,Kuna mzunguko mwingine juu ya mzunguko.,sw,0
56,"Katika hali hii, thamani kwa mtumiaji wa huduma ya kuboresha itachukuliwa pamoja na gharama ya kufanya kazi.",Hakuna uwezekano wa gharama ya kufanya kazi katika kesi hii.,sw,2
57,"Je, kuna taarifa ya kutosha kwa kutimiza utambulisho wa jumla?",Taarifa ya utaratibu ni kwa kiasi kikubwa sana.,sw,1
58,Kazi ya kisiasa ambayo haikufanyika kupitia mchakato wa uhamisho hutoa Clinton kwa gharama kubwa na kubwa.,Mchakato huo ulifanyika pamoja na mume wa Clinton.,sw,1
59,Si kwamba mimi ninaweza kukumbuka mimi ni tu hapa kwa miaka 8 lakini mimi ninaweza kukumbuka kuja kufanya kazi kutoka mimi ni kawaida kuishi katika Wylie na mimi ninaweza kuona jiji la Dallas,Nimekuwa hapa kwa miaka miwili tu.,sw,2
60,"Katika miaka ya 1980 na 1990, Marekani imekuwa na uwezo wa kuwekeza zaidi kuliko iliyookoa kwa kuvutia fedha kutoka nje ya nchi.",Marekani inaweza kuokoa zaidi kuliko ilivyotumia katika miaka ya 1980 na 90.,sw,2
61,"Uaminifu ni muhimu, na Jim Lehrer, kwa kweli, ina.",Kila mtu anaweza kuamini kile Jim Lehrer alisema.,sw,1
62,Kuna mtu anapaswa hapa ambaye anajua zaidi kuhusu kile kilichotokea katika ulimwengu huu kuliko alivyofanya sasa.,Yeye alijua alikuwa mtu pekee ambaye ana mawazo yoyote ya kile kilichotokea.,sw,2
63,"Matokeo yake yalikuwa pamoja na hatua za usahihi, haraka na wakati, gharama ya moja kwa moja, furaha ya wateja, na maendeleo na furaha ya wafanyakazi.",Ufafanuzi na kasi ni ufafanuzi wa kwanza unaoelezwa kwenye tarakilishi.,sw,1
64,"Kwenye upande wa kulia wa kuingia ni nafasi ya wazi kilichopatikana mara moja na Temple ya Athena, karibu na ambayo ni marufuku ya kitabu cha Pergamene.",Hakuna mbegu za kuonekana kutoka kwa rampu.,sw,2
65,"Ikiwa unataka kujifunza mpira wa watu wa Israeli, Bicurei Ha'etim Cellar katika Heftman Street utafundisha.",Bicurei Ha'etim Cellar ni mahali pekee ya kujifunza muziki wa watu wa Israeli.,sw,1
66,"Je, ni kwa ajili ya Sherlock Holmes?","Je, hii ni ya Sherlock Holmes?",sw,0
67,"Ingawa miji miwili bado haujulikana na barabara, hii ilikuwa karibu kubadilika haraka.",Miji mawili haikuwa na barabara moja kati yao.,sw,0
68,Huduma za utafiti zinaweza kuwa na manufaa sana.,Makampuni ya Mawasiliano ya Uturuki haitakuwa na msaada.,sw,2
69,"Makala zaidi ya utekelezaji pia itahitajika kutimiza matatizo ya mfumo wa biashara, mchakato, na rasilimali.","Mpango wa ufumbuzi wa kina unahitajika ili kutimiza mfumo wa biashara, mchakato na rasilimali",sw,0
70,"Kwanza, cannabinoids iliyotolewa huwezi kuonyesha madhara ya marijuana iliyotumika.",Mfumbo wa marijuana hufanya watu zaidi kuliko injected na cannabinoids.,sw,1
71,Taarifa hizo zitatolewa kama taarifa ya ziada zinazohitajika yanayohitajika na ripoti ya kifedha ya Serikali ya Jamhuri ya Muungano lakini si katika ripoti ya kipekee ya makundi yake.,Taarifa hiyo itatumika katika ripoti za kibinafsi zinazohusiana na makundi ya serikali ya kidiplomasia.,sw,2
72,Boca da Corrida Encumeada (mchakato; saa 5): Maoni ya Curral das Freiras na mlima wa Ribeiro do Poco.,"""Mtazamo wa Curral da Freiras na mlima wa Ribeiro do Poco"" ni makala ya 5.",sw,1
73,"Kiwango cha faida - bei iliyoandikwa kwa moja ya fedha iliyoandikwa kwa mwaka, au moja nyingine ya muda, kawaida iliyoandikwa kama asilimia.",Kiwango cha faida inaweza kuongezeka kutoka 0 hadi asilimia 15.,sw,1
74,Hii ni ya kuvutia kupata kwamba jack off kwamba ni sahihi oh kwamba ni hadithi ya furaha,Mimi itakuwa na furaha ya kuzungumza hadithi hii.,sw,1
75,"Mr. Erlenborn alishiriki masomo ya chuo kikuu katika Chuo Kikuu cha Notre Dame, Chuo Kikuu cha Indiana, Chuo Kikuu cha Illinois, na Chuo Kikuu cha Loyala cha Chicago.",Mr. Erlenborn alihudhuria masomo katika masomo ya angalau nne tofauti.,sw,0
76,"Hivyo, tofauti na watu ambao ni na bahati ya kutosha kuwa na uwezo wa kupata wanasheria na wanaweza kwenda na mwanasheria mwingine, wateja wetu ni rahisi kupoteza katika mfumo wa kisheria ikiwa hawawezi kupata upatikanaji kutoka kwetu.",Wateja wetu wanaweza kupokea mashtaka na kuongezeka kati ya wanasheria.,sw,2
77,"Hatimaye, mwanamke alifungua macho yake kwa urahisi.",Alikuwa akifungua macho yake.,sw,0
78,Hiyo ni bora zaidi ni Mji mkubwa / Mji wa Absalom (ya mwana wa mfalme David).,Mji wa Absalom / Mji wa Absalom ina mti mkubwa wa kubuni.,sw,0
79,"Ikiwa kumbukumbu ya Ritz ni kumbukumbu ya ajali?""","Je, unakumbuka kwamba Ritz ni ya ajali?",sw,0
80,Haya ni maneno matatu ambayo wewe daima kuweka katika makala ya plagiarized ili kuondoa mwalimu mbali.,Maneno haya nne zinahitaji walimu wa kujifunza juu ya paragraph na kwa haraka kuondoa taarifa ya kizuizini.,sw,1
81,Mtu huyo anasema amepigwa risasi kwa njia na amepigwa marufuku bila fedha au tiketi yake ya ndege katika uwanja wa ndege wapi katika Ulaya au Mashariki ya Kati.,Alikuwa amejeruhiwa katika njia na hawana fedha au tiketi ya ndege.,sw,0
82,"Ni iliyoundwa katika miaka ya 1820 kama ishara ya ujasiri wa kitaifa wa Scotland na iliyoundwa kama mini-Parthenon, kulingana na mtindo wa Neoklassic maarufu wakati huo.",Ilikuwa iliyoundwa kuwa toleo ndogo la Parthenon.,sw,0
83,"Ingawa data ya mashtaka hutoa habari sahihi zaidi kuhusu matumizi ya huduma za afya, kuhakikisha kufuatilia sahihi kwa madhumuni ya kupata habari kutoka kwa wagonjwa taarifa binafsi ni muhimu kwa sababu watu wengi hawana taarifa ya matukio yanayohusiana na mafuta kwa ajili ya usalama.",Matukio yanayohusiana na madawa ya kulevya yanayohusiana na magonjwa mara nyingi haitajulikana na wagonjwa kwa mashirika yao ya usalama.,sw,0
84,"Je, unaweza kujadili suala hili, kwa kuzingatia ramifications ya kijamii ya gumu kwa umma?","Hakuna maoni juu ya kutibu gumu kwa umma, ninaona.",sw,2
85,Wafanyakazi wa H-2A wanapaswa kuondoka nchi na wanatakiwa kuondolewa kwa sababu hawakufanya hivyo.,Wafanyakazi wa H-2A walifanya uhalifu.,sw,1
86,Watafiti wamegundua wasiwasi kama vile kupoteza check katika barua pepe na ugonjwa wa wapenzi.,Mateso yameathiri watu kama wanasayansi wanatarajia.,sw,0
87,"Kwa hiyo, unahitaji kuingia kwa njia hii).",Unaweza kukaa mahali ambapo wewe ni.,sw,2
88,"Mfalme wa Yuda na Israeli wa 28 wamejengwa baada ya maandiko ya Viollet-le-Duc; wa awali wamejengwa wakati wa Revolution, tangu walifikiri kuwa wafalme wa Ufaransa.",Wale ambao wamekamilisha majengo hayo wamekamatwa.,sw,1
89,Wao walimfukuza mlango wa mlango wa mlango wa mlango wa mlango wa mlango wa mlango wa mlango.,"Ka'daan akafungua mlango wakati wa kuingia, na kuunganisha kufungua kwa sauti.",sw,0
90,Miji ndogo kama vile miji ya Louisian yalikuwa yaliyopangwa katika maeneo yote ya mafuta; barabara kuu ya treni ilifungwa kati yao.,Njia kuu ya treni ilitoka kati ya miji yote ndogo.,sw,0
91,Nadhani watu ambao ni um wana um mapato ya chini ambayo wewe automatically sawa na elimu ya chini,Nadhani mapato ya juu ni sawa na elimu ya chini.,sw,2
92,"Kuwa na furaha nzuri,",Sasa unajua jinsi ya kupanda rose kutoka kwenye bouquet nyumbani.,sw,1
93,"Wakati wa kuangalia historia hii, ni muhimu kufanya baadhi ya tofauti muhimu.",Hakuna sababu ya kutambua mapema.,sw,2
94,"Mto Black, kwa kilomita 71 (44 mil), ni mrefu zaidi katika Jamaica; ilikuwa njia ya arterial iliyotumika kuendesha rum na lumber kutoka kwa mimea ya ndani.",Jiji la Black lilipokea jina lake kwa sababu maji katika mzunguko wake ni halisi ya kijani.,sw,1
95,katika mji wetu wa miaka elfu tano tuna moja ambayo ni uh kituo cha FM ya ndani na habari zao ni kuhifadhiwa kutoka CNN pia uh ni zaidi ya uh,Radio ya mji kamwe ilikubaliana na vyanzo vyote vya habari vya taifa.,sw,2
96,Kuna aina fulani ya shughuli za usimamizi ambayo ni kawaida kwa mashirika yote.,Kazi ya usimamizi kama vile majaribio salama ya biashara ni kawaida kwa jumla katika mashirika yote.,sw,1
97,"Zaidi ya wafuasi wa mahakama, wanasheria na wafuasi wa haki za haki za haki za haki za haki za haki za haki za haki za haki za haki za haki za haki za haki za haki za haki za haki za haki.",Watu wawili tu walikutana kwa mkutano huo.,sw,2
98,Alikuwa akijisahau kuhusu Adren.,Alikuwa anajua Adrin wakati wote huu.,sw,2
99,"Kwa maneno mengine, makala ilionyesha habari ya habari ya kawaida ya kuonyesha mgogoro wa uwezekano wa maslahi yanayohusiana na wanasiasa wakati kuzingatia wale yanayohusiana na wanasiasa.","Makala inaonyesha, waandishi wa habari kuonyesha mgogoro wa uwezekano wa maslahi karibu na wanasiasa, lakini kamwe kuonyesha waandishi wengine.",sw,0
100,Sababu ya mwisho ya Renaissance ya vijana ni kujitegemea mwenyewe ya boomer.,Boomer self-obsession ni moja ya sababu ya upya Renaissance.,sw,0
101,"Baada ya kifo cha Columbus mwaka 1505, Jamaica imekuwa mali ya mwanawe Diego, ambaye alitoa Don Juan de Esquivel kwenye kisiwa kama Gubernator.","Jamaica ilitolewa na mwana wa Columbus, Diego.",sw,0
102,"Hatuwezi kuua tabia ya George Clooney katika ER kama vile walifanya kwa Jimmy Smits katika NYPD. badala yake, Dr. Doug Ross inatakiwa kuondoka juu ya episodes mawili ya baadaye kwa sababu tumbo la moyo wa Maverick hutoa kipimo yasiyoidhinishwa kwa msichana mwenye ugonjwa wa mwisho (Juma, saa 10).",George Clooney ataondoka kwa sababu watengenezaji hawaamini anaweza kufanya kazi.,sw,2
103,"120 ""Hakuna mawazo kwamba mimi lazima kwenda polisi?""","Je, siwezi kuwasiliana na polisi?",sw,0
104,"Hivyo, kwa sababu mambo ambayo mimi kufikiri itakuwa tu kujua",Kwa sababu wanaweza kuishi kwa urahisi.,sw,2
105,Tumechukua hatua kadhaa ili kuimarisha na kuwekeza katika wafanyakazi wetu.,Hatua ambayo tumechukua ni kuweka mipango kwa wafanyakazi.,sw,0
106,"Katika kesi ya mazungumzo, Fiss inaonekana kuamini kwamba sababu ya umma wa Marekani ni chini ya kuvutia kuliko yeye anataka ni kuhusu masuala kama vile feminism, haki za homoseksual, na usimamizi wa sekta ni kwamba watu wanakataa kufikia maoni na habari ambayo itakuwa kuvutia.","Watu wa Amerika ni vizuri kujua juu ya masuala ya kigaidi, kulingana na Fiss.",sw,2
107,"Kwa mfano, eneo la piknik la Bras-David lililowekwa pamoja na mzunguko wa burbling.",Mikoa ya piknik si karibu na mzunguko.,sw,2
108,na uh nzuri kama wewe kama wewe kupata yeye mtiriririririririririririririririririririririririririririririririririririririririririririririririririririririririririririririririririririririririririririririririr,Yeye itakuwa kuondoa bahari yako yote katika dakika tano ikiwa alikuwa na kutumia moto wa nguvu.,sw,1
109,Mimi naona kwa mara ya kwanza jana jioni.,Nilikuwa na furaha sana wakati niliona hilo jana.,sw,1
110,Kwa bahati mbaya.”,ya Alfred Inglethorp,sw,2
111,Tuna nini kwa ajili ya chakula?,Tunaweza kula nini kwa ajili ya chakula cha jioni?,sw,0
112,Utafiti wa wakazi wa Hong Kong unaonekana kuwa damu juu ya baadaye ya mji.,Utafiti wa wakazi wa Hong Kong unaonekana kuwa wenye damu zaidi juu ya baadaye ya mji kuliko hapo awali.,sw,1
113,Nimekumbuka kitu cha kukutuliza wewe mtoto wa Kibare.,Niliumbwa katika Galveston na niliumbwa katika Dallas.,sw,1
114,Mimi ni kujitegemea kuwa na uwezo wa kutoa fedha kwa heshima yoyote mpaka nilifanya utafiti wa makini zaidi juu ya thamani ya sababu.,Tunahitaji kutafuta sababu kwa makini kabla ya kutoa pesa kwa hilo.,sw,0
115,Unajua wao wanapenda kile wanafanya wanajua wao wanapenda vizuri kuhusu kile wanafanya aina hii ya kitu ni zaidi,Unaweza kuona jinsi njia yao yote demeanor imebadilika.,sw,1
116,Ninawezaje kuwasaidia?”,Sikuwa na msaada kwa kiasi kikubwa.,sw,2
117,"Siku ya kawaida ya kufungua kwa hoteli nyingi ni Pasaka ya Orthodox, ingawa baadhi ya si kufungua mpaka mwisho wa Aprili.",Hoteli hazifungwa wakati wa Halloween.,sw,1
118,malipo ya matibabu na matibabu.,Malipo ya matibabu na matibabu yamekamilika kabisa.,sw,1
119,hakika na wakati mimi ni hapa juu ya sofa cross-stitching na kila mara mtu moja ya mtu kupata mikono yao juu ya mlango wangu knob ni kama uh kama oh si na hivyo mimi si mimi si kufurahia hii na mimi kufikiri njia pekee ya kuzuia itakuwa tu kuhamia msimamo wa mji ili kuzuia hii au,Mtu mmoja alijaribu kuingia katika nyumba ili yeye anaweza kupigana.,sw,1
120,"Kalenda ya Kichina ilitumiwa kutarajia mwaka wa uanzishaji wa Japan kwa kutarajia miaka 1,260 ya sikukuu ya Kichina ya Kosmologia.",Kazi ya Japan ilibadilishwa kwa kutumia kalenda ya Kichina.,sw,0
121,"Kwa mfano, unaweza kukua rose ambayo inakua katika bustani yako na rose ambayo inakua katika bustani yako, na rose ambayo inakua katika bustani yako.","Ikiwa wewe kulipa $ 100 kwa mwezi, inachukua muda mrefu.",sw,2
122,"Hivyo, faida ya kiwango cha net ni ya kwanza nzuri, kama sisi kubadilika kwa mshahara premium au si.",Faida ya kwanza ya kiwango cha net ni mbaya wakati wa kubadilishana kwa mshahara premium.,sw,2
123,"Angalia hapa, hakuna biashara ya kuja kuomba kwangu kwa njia hii.",Hakuna sababu ya kuomba kwa ajili yangu kama hii.,sw,0
124,Wanasayansi huonyesha kwamba si umri pekee ambayo huamua thamani ya kale ya Kichina kwamba dinasties ya zamani walikuwa juu na chini yao ya ubunifu.,Wataalam wa msingi wa bei ya kale yao ya Kichina kulingana na umri wao tu.,sw,2
125,Miji ndogo kama vile miji ya Louisian yalikuwa yaliyopangwa katika maeneo yote ya mafuta; barabara kuu ya treni ilifungwa kati yao.,Kuna miji moja tu katika maeneo ya mafuta.,sw,2
126,"Wawakilishi wanaweza kuwa hawana msaada kamili wa mfano wa biashara zaidi kwa sababu wana wasiwasi kwamba habari itakuwa msingi wa hukumu nyingi na, kwa hiyo, ukosefu wa usahihi, ambayo inaweza kufanya ufanisi wa viwango vya habari vigumu.",Maudhui ya masharti ya ripoti inaweza kuwa mbinu kubwa kwa mfano huu wa biashara.,sw,0
127,"Kwanza, kupata msingi sahihi, yaani, kuzuia na kukabiliana na ripoti ya kifedha.","Kwa hiyo, msingi unapaswa kuwa sahihi kwanza.",sw,0
128,"Katika mazingira ya Victoria bado mbaya, Dinard imehifadhi mali bora ya vilabu nzuri na barabara za muda mrefu, barabara za mitaani, hoteli za Plush, boutiques za kielelezo, diskotiques, casino, park na bustani, na swimming pool ya umma ya ukubwa wa Olimpiki.",Dinard inawakilisha hisia ya Viktoria wakati pia ina mambo ya luxury.,sw,0
129,"Kwa pamoja na hatua zote, mazoezi fulani yalikuwa muhimu sana kwa mafanikio ya juhudi zao.",Hakuna mazoezi yanayotumia,sw,2
130,Lakini kuna wakati mwingine.,Hakuna kitu chochote ndani yake.,sw,2
131,"Ni rahisi kuathiri juu ya majumba mengi, majumba, na muziamu nchini India.",Utakuwa na ukosefu wa bustani na temple duniani kote.,sw,2
132,Ni rahisi sana.,Hakuna kwa makosa.,sw,0
133,Yeye alikuwa timu yangu favorite kwa muda mrefu.,Walikuwa timu yangu ya favorite.,sw,0
134,"Mji huu wa kihistoria maarufu wa maji safi, inayojulikana kama bahari ya Galilee na bahari ya Kinneret (kwa maana ya harp, baada ya muundo wake), ni kilomita 58 (36 mil) katika mzunguko.",Bahari ya Galilee pia imekuwa inayojulikana kama Lake Kinneret kwa mamia ya miaka.,sw,1
135,Kwa sababu mimi maana mimi si kujua ni tu kitu mimi kufikiri kitu tunahitaji,"Nadhani tunaweza kufanya bila hilo, lakini itakuwa mabadiliko makubwa ya ubora wetu wa maisha.",sw,2
136,Jon alikuja mji kwa ajili ya mti.,Jon aliendelea kuingia katika mlima.,sw,2
137,Sheria ya Leland (1) inafanya ufafanuzi wa nyumba,Ufafanuzi wa nyumba inaweza kutumika rahisi.,sw,0
138,Taarifa hizo zitatolewa kama taarifa ya ziada zinazohitajika yanayohitajika na ripoti ya kifedha ya Serikali ya Jamhuri ya Muungano lakini si katika ripoti ya kipekee ya makundi yake.,Makadirio ya kibinafsi yanayohusiana na viungo vya sehemu yake hazitajumuisha data.,sw,0
