,premise,hypothesis,lang_abv,label
18,"4) Недостаточно известно о том, как расходы на нетранспорт варьируются по расстоянию.","Способы, по которым расстояние влияет на расходы на нетранспорт, – это тема, о которой у нас недостаточно информации.",ru,0
19,"Я удивлен тем, что у нас так много людей, которые находятся здесь в политике.","Я удивлен тем, что не многие из них находятся здесь в политике.",ru,2
20,Дизайн договора был паломником Томи.,Контракт был не для Томи.,ru,2
21,"Таким образом, количество курильщиков может на самом деле расти быстрее, чем предполагалось.","Количество курильщиков резко сократится, как ожидалось.",ru,2
22,"До тех пор, пока Асад живет, он может справиться с этими проблемами и заключить соглашение с Израилем.","До тех пор, пока Асад не умирает, он сможет позаботиться о проблемах.",ru,0
23,Четырех детей Яви? спросил Северн.,Северн знает все о детях Джарвиса.,ru,1
24,Мой мозг отказывается правильно управлять.,Мой мозг не командовал правильно.,ru,0
25,"«Так твоя девушка пишет, что твоя маленькая прощальная деятельность не стоял так хорошо, не так ли?»",Ваша прощальная деятельность не проделалась хорошо.,ru,0
26,Вы должны пройти через него).,Вам нужно пройти через него пешком.,ru,0
27,"Нет, я исключен, удивлен",«Нет!» я кричала в шоке.,ru,0
28,"Бауэрштейн был в Стиле в смертельную ночь, и добавил: «Он сказал дважды: «Это меняет все».","Стиль отвечает за то, что произошло.",ru,1
29,"Долгое время — или далеко, или что бы то ни было — существовал мир под названием Тар? и другой под названием Эрат.","Эрат – единственный мир, который когда-либо существовал.",ru,2
30,"Затем, все время, это было в грязном вазе в спальне г-н Инглетхорп, под нашими носами?","Так что это было скрыто в другой стране, невозможно для нас найти?",ru,2
31,"Потому что я всегда должен был это делать, и поэтому я просто плачу кому-то другому, чтобы это сделать, и они делают то, что они делают, чтобы резать, они оплодотворены, и я думаю, что в этом году у меня будет какое-то пейзаж.",Я никогда не развивал любовь к садоводству.,ru,1
32,«Она становится немного обсессивной по поводу своей сосы.,"Ее соус настолько сложен, что она осмеливается совершенствованием каждого ингредиента.",ru,1
33,"Вместо этого, дети сегодня являются не только небольшими пачками радости, но и, возможно, конечными символами мирового успеха и статуса.","В то время как дети сегодня являются символами успеха и статуса, и их родители тоже.",ru,1
34,Гражданская война Китая направила в Гонконг тревожные эхо.,Япония провела гражданскую войну.,ru,2
35,"Семь грантов поступают из новой программы по строительству некоммерческих возможностей на основании, которая является частью тенденции среди филантропистов пожертвовать средствами, чтобы помочь организациям расти сильнее, а не по программам, которые они предоставляют.","Стипендии поступают из программы по строительству некоммерческих возможностей на основании, представляя тенденцию среди филантропистов, чтобы дать деньги для роста организаций, а затем взять их на себя.",ru,1
36,"Или, допустимость может быть ограничена тем, кто уже был беременным, или, по крайней мере, сексуально активным; тем, кто старше 13 лет или младше 21 года; или какой-либо комбинации из них.",Возраст согласия также составляет 21 год.,ru,1
37,"В связи с этим, возвращение Стива Джобса, чтобы спасти Apple, похоже на возвращение генов.",Стив Джобс вернулся в Apple,ru,0
38,"или у них был кто-то дома, который был болен, что они должны были склонны к мне, значит, вы не можете сделать это всем",У них не было ничего делать.,ru,2
39,"От поколения к поколению (Мичико Какутани, The New York Times).Несколько, как и Перл К. Белл в «Волл-стрит-Журнале», обнаруживают в романе перелом сладко послушной послушности и говорят, что части опасны на пороге сентиментальности.","Они жалуются, что роману не хватало эмоций.",ru,2
40,"Нет проблем, хорошая политика.","Не волнуйтесь, хорошая политика.",ru,0
41,"МТРО (подводный путь) является самым быстрым способом передвижения по городу, но автобусы, как в столице, так и в других крупных городах, лучше всего принимать в достопримечательности.","Принимая метро, это хороший способ испытать жизнь в большом городе.",ru,2
42,"Они были настолько уверены в себе, что взяли это за то, что он совершил ошибку».","Они просто предположили, что он совершил ошибку.",ru,0
43,I'm on I'm in the Plano school system and living in Richardson and there is a real dicotomy in terms of educational and economic background of the children who are going to be attending this school,Есть огромное количество бедных студентов и очень мало богатых.,ru,1
44,"ОК и я думаю, что мы просто подгибаемся, я не думаю, что нам нужно делать что-то другое","Это и есть, мы просто встаем, не так ли?",ru,0
45,"Они капитализировали природные ресурсы, используя соль для исцеления рыбы, которую они экспортировали в свою страну.","Они использовали соль, чтобы вылечить рыбу и отправили ее домой.",ru,0
46,"Новости советуют пользователям компьютеров выбирать очевидные, легко рассеянные пароли и кастрируют системных администраторов за игнорирование основных мер предосторожности безопасности.",Новости не обвиняют пользователей или системных администраторов в нарушениях безопасности.,ru,2
47,"Для их счастья, он доказывает, что они правы.","Он показывает, что они были правильными.",ru,0
48,Вместо этого он решил использовать McIntyre.,McIntyre был выбран для использования в качестве закрытого пиццера.,ru,1
49,"Другая вещь заключается в том, сколько стоит почти запрещено доставить его до дилера.","Это дешево, чтобы доставить его до дилера.",ru,2
50,"Политики, обеспечивающие страхование на всю жизнь застрахованного и доходы (смертную сумму) оплачиваются только после смерти застрахованного.","Целая политика жизни является лучшим выбором для человека, который ожидает, что он будет жить до 90 лет.",ru,1
51,"2466, обсуждает четыре коллекции, которые включают сертификацию минимального количества установленных и функционирующих микроволновых ссылок и поддержание компьютерно-читаемой базы данных.",2466 обсуждает четыре коллекции.,ru,0
52,"Женская пещера, которая предоставляет убежище и доступ к жертвам домашнего насилия, уже имеет полноценный адвокат.",В Женевом пещере уже есть адвокат на полный срок.,ru,0
53,Высокая влажность,Воздух с повышенным содержанием воды.,ru,0
54,"Мы должны взглянуть на последствия, которые эти различные роли имеют для ряда вопросов, таких как основные компетенции SES, стандарты производительности, источники рекрутинга, мобильность и программы обучения и развития.",Мы можем полностью игнорировать последствия ролей на мобильность.,ru,2
55,Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да,Есть еще один слой к поверхности.,ru,0
56,В этой ситуации стоимость в почтовую почту улучшенного сервиса будет рассматриваться вместе с затратами на выполнение работы.,В этом случае не будет учитываться стоимость выполнения работ.,ru,2
57,Существует ли достаточная информация для оценки генерализации?,Информация о выходе слишком широко распространена.,ru,1
58,"Политическое очищение, которое не произошло в процессе импичмента, оставляет Клинтон с большим и серьезным бременем.",Процесс заключения также повлиял на мужа Клинтона.,ru,1
59,"Неужели я могу вспомнить, что я был здесь только восемь лет, но я могу вспомнить, что я приехал на работу, откуда я привык жить в Вилли, и я мог увидеть центр Далас",Я здесь был только два года.,ru,2
60,"В большинстве 1980-х и 1990-х годов США смогли инвестировать больше, чем спасли, привлекая финансирование из-за рубежа.","Соединенные Штаты могли сэкономить больше, чем инвестировали в 1980-е и 90-е годы.",ru,2
61,"Кредитность является жизненно важным фактором, и Джим Лехрер, на самом деле, имеет.","Все будут верить в то, что сказал Джим Лехер.",ru,1
62,"Здесь должен быть кто-то, кто знал больше о том, что происходит в этом мире, чем он делает сейчас.","Он знал, что он был единственным человеком, имеющим любое представление о том, что происходит.",ru,2
63,"В его оценку входят меры точности, скорости и своевременности, единичных затрат, удовлетворения клиентов и развития и удовлетворения сотрудников.","Точность и скорость являются первыми измерениями, перечисленными на карте.",ru,1
64,"На левой стороне входного рампа находится открытый участок, когда-то оккупированный Храмом Афины, вблизи которого находятся останки Пергаменской библиотеки.",Никаких остатков с рампа не видно.,ru,2
65,"Если вы заинтересованы в изучении израильского народного танца, Bicurei Ha'etim Cellar на улице Heftman учит вас.",Bicurei Ha'etim Cellar является единственным местом для изучения израильского народного танца.,ru,1
66,Или Шерлок Холмс?,Неужели это был Шерлок Холмс?,ru,0
67,"Несмотря на то, что два города остались без железных дорог, это скоро изменилось.",У двух городов между ними нет железной дороги.,ru,0
68,Туристические информационные агентства могут быть очень полезными.,Туристические информационные агентства никогда не помогают.,ru,2
69,"Более подробные планы реализации также будут необходимы для решения проблем деловой системы, процессов и ресурсов.","Подробные планы реализации необходимы для решения бизнес-систем, процессов и ресурсов",ru,0
70,"Во-первых, вводимые каннабиноиды могут не отражать последствия курения марихуаны.","Курение марихуаны приносит людям больше, чем им вводит каннабиноиды.",ru,1
71,"Данные будут представлены как необходимая дополнительная информация о управлении, сопровождающая консолидированные финансовые отчеты Федерального правительства, но не в индивидуальных отчетах его компонентов.","Данные будут включены в отдельные отчеты, относящиеся к составляющим подразделениям федерального правительства.",ru,2
72,Boca da Corrida Encumeada (умерено; 5 часов): вид на Curral das Freiras и долину Рибеиро до Поко.,«Виды Curral da Freiras и долины Рибеиро до Поко» — глава 5.,ru,1
73,"Ставка процента - цена, начисленная на единицу заемных денег в год, или другой единицы времени, обычно выраженная в проценте.",Стоимость процентов может варьироваться от нуля до 15 процентов.,ru,1
74,"Это хилярично, чтобы получить этот джак, это верно, это смешная история",Мне понравится рассказывать эту историю.,ru,1
75,"Г-н Эрленборн участвовал в аспирантурных курсах в Университете Нотр-Дам, Университете Индианы, Университете Иллинойса и Университете Лоялы Чикаго.",Г-н Эрленборн участвовал в занятиях по крайней мере в четырех разных университетах.,ru,0
76,"Таким образом, в отличие от людей, которые довольно счастливы, чтобы получить адвокатов и могут обратиться к другому адвокату, наши клиенты просто теряются в правовой системе, если они не могут получить доступ к нему от нас.",Наши клиенты могут предоставлять адвокаты и боунсинг между адвокатами.,ru,2
77,В конце концов женщина слабо открыла глаза.,Она открыла глаза.,ru,0
78,Лучшим из них является огромная конично покрытая гробница / стул Абсалома (сина короля Давида).,Гробница / столб Абсалома имеет большую крышу в виде конуса.,ru,0
79,Если не упоминание о Рице было случайным примером?»,Вы упомянули Ритц случайно?,ru,0
80,"Это четыре фразы, которые вы всегда вкладываете в плагинизированные бумаги, чтобы выбросить профессора.",Эти четыре фразы заставляют профессоров сдвинуться над параграфом и непреднамеренно пропускать плагированную информацию.,ru,1
81,"Этот человек утверждает, что он был похищен на дороге и задержан без денег или авиабилетов в аэропорту где-то в Европе или на Ближнем Востоке.","Он утверждал, что он был украден на дороге и у него нет денег или авиабилетов.",ru,0
82,"Он был разработан в 1820-х годах как символ шотландской национальной гордости и разработан как мини-партеон, в отличие от популярного в то время неоклассического стиля.","Он был разработан для того, чтобы быть меньшей версией Партенона.",ru,0
83,"Хотя данные претензий предоставляют наиболее точную информацию о использовании здравоохранения, обеспечение адекватного отслеживания с целью получения информации от саморепортажа пациентов важно, потому что многие люди не сообщают о событиях, связанных с алкоголем, страховщикам.","События, связанные с алкоголем, которые способствуют заболеванию, часто не сообщаются пациентами их страховым компаниям.",ru,0
84,"Можете ли вы, пожалуйста, поговорить об этом вопросе, по отношению к социальным рамификациям гума в публике?","Вы не имеете мнения о гвоздике в публике, я вижу.",ru,2
85,Работник H-2A должен покинуть страну и подлежит депортации за неудачу.,Работник H-2A совершил преступление.,ru,1
86,"Исследователи обнаружили ожидаемые стрессы, такие как потеря чека в почте и болезнь близких.","Стресс повлиял на людей, как ожидают исследователи.",ru,0
87,Вы должны пройти через него).,"Вы можете оставаться там, где вы находитесь.",ru,2
88,"28 статуй, представляющих королей Иуды и Израиля, были переработаны после рисунков Виолета-ле-Дука; первоначальные были сняты во время революции, поскольку считалось, что они были королями Франции.","Люди, которые сбросили статуи, были убиты.",ru,1
89,Каддан закрыл за ними дверь и удержал не.,"Каддан закрыл дверь, когда они входили, и связал ее крылом.",ru,0
90,"Маленькие города, такие как Луизианский слой, рассеялись по Нафтовым полям; главная железнодорожная линия пересекалась между ними.",Основная железнодорожная линия проходила между всеми небольшими городами.,ru,0
91,"Я думаю, что у людей, которые есть ум, есть низкий доход, который вы автоматически равняете с низким образованием.","Я думаю, что более высокий доход равен более низкому образованию.",ru,2
92,"Будьте с удовольствием,","Будьте счастливы, потому что время пива приближается.",ru,1
93,При рассмотрении этой истории важно сделать некоторые ключевые отличия.,Нет смысла анализировать прошлое.,ru,2
94,"Черная река, на расстоянии 71 км (44 миль), является самой длинной в Ямайке; это был артериальный маршрут, используемый для транспортировки рома и лумба из внутренних плантаций.","Черная река получила свое название, потому что вода в ее потоке на самом деле черна.",ru,1
95,"В нашем городе пяти тысяч у нас есть один, который ух местная FM AM станция и их новости питаются из CNN тоже ух это больше ух",Городская радиостанция никогда не полагалась на какие-либо национальные источники новостей.,ru,2
96,"Существуют определенные категории деятельности контроля, которые распространены всем агентствам.","Контрольные мероприятия, такие как безопасные бизнес-практики, широко распространены во всех агентствах.",ru,1
97,"На собрание присутствовало более 100 судей, юристов и достоинств.",Только два человека выступили на собрание.,ru,2
98,Он забыл о Адрине.,Он вспомнил Эдрин весь этот раз.,ru,2
99,"Другими словами, в докладе отображается слишком типичная журналистическая тика выявления потенциальных конфликтов интересов, в которых участвуют политики, а также игнорирование тех, в которых участвуют журналисты.","Журналисты раскрывают потенциальные конфликты интересов вокруг политиков, но никогда не раскрывают других журналистов.",ru,0
100,Последней причиной подросткового ренесанса является самообсесия бумера.,Бумерская самообсесия является одной из причин подросткового ренесанса.,ru,0
101,"После смерти Колумба в 1505 году, Ямайка стала собственностью его сына Диего, который отправил Дон Хуан де Эскивель на остров в качестве губернатора.",Ямайку унаследовал сын Колумба Диего.,ru,0
102,"Они не будут убивать персонажа Джорджа Клуни в ER, как они сделали с Джимми Смитсом в NYPD. Вместо этого, д-р Дуг Росс вынужден выходить из двух следующих эпизодов, потому что мавёрский сердечный приступ дает несанкционированный болеутоляющийся мальчик (четверк, 10 утра).","Джордж Клуни потеряет работу, потому что производители не думают, что он может действовать.",ru,2
103,"120 «Не думаете ли вы, что я должен идти в полицию?»",Неужели я не должен идти в полицию?,ru,0
104,"Да, потому что эти вещи, по моему мнению, просто поймут вас знать",Потому что они бы легко выжили.,ru,2
105,"Мы предприняли ряд шагов, чтобы укрепить и инвестировать в наших сотрудников.","Эти шаги, которые мы предприняли, устанавливают программы для сотрудников.",ru,0
106,"В случае выступления Фисс, похоже, считает, что причина, по которой американская общественность менее освещена, чем он хотел бы, что речь идет о таких вопросах, как феминизм, права гомосексуалистов и регулирование отрасли, заключается в том, что людям отвергается доступ к мнениям и информации, которая будет их освещать.","Люди в Америке очень хорошо осведомлены о спорных темах, согласно Fiss.",ru,2
107,"Например, рустическая пикническая зона Брас-Давид расположена рядом с бурбливым потоком.",Пикник находится недалеко от потока.,ru,2
108,и ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху ху,"Он смотрял бы всю вашу двору за восемь минут, если бы он использовал мощный мотор.",ru,1
109,"Ум-хум да, я впервые увидел это вчера вечером","Я был очень поражен, когда увидел это вчера.",ru,1
110,«Бауэрштейн»,Альфред Инглетхорп,ru,2
111,Что у нас есть на обед?,Что мы будем есть на обед?,ru,0
112,"Опрос жителей Гонконга показывает, что они кровопролитны о будущем города.","Опрос жителей Гонконга показывает, что они более кровопролитны по поводу будущего города, чем раньше.",ru,1
113,"Я имею в виду, когда ты был, когда ты вырос, я имею в виду, как Гальвестон.","Вы выросли в Гальвестоне, а я выросла в Даласе.",ru,1
114,"Я настолько конструирован, что не смогу отдать деньги с какой-либо удовлетворением, пока не сделаю самое тщательное расследование достоинства дела.","Я должен тщательно исследовать причину, прежде чем пожертвовать ей деньги.",ru,0
115,"Вы знаете, что они любят то, что они делают, вы знаете, что они чувствуют себя хорошо о том, что они делают, что это больше","Вы можете увидеть, как изменился весь их дементор.",ru,1
116,Могу ли я вам помочь?»,Я вам вообще не помогаю.,ru,2
117,"Традиционным временем открытия для многих отелей является православный Пасха, хотя некоторые не открываются до конца апреля.",Гостиницы не открываются на Хэллоуин.,ru,1
118,медицинских и хирургических расходов.,Медицинские и хирургические расходы были полностью покрыты.,ru,1
119,"точно и когда я сижу здесь на диване, пересекающейся и все внезапно кто-то у мужчины уходит рука на мою дверь, это как ух, как о нет, и поэтому я не люблю это, и я думаю, что единственный способ предотвратить это будет просто пройти городский порядок, чтобы предотвратить это или","Мужчина пытался войти в дом, чтобы он мог украсть его.",ru,1
120,"Китайский календарь использовался для расчета года основания Японии, исчисляя 1260 лет китайского космологического цикла.",Основание Японии было определено с использованием китайского календаря.,ru,0
121,"Да, я знаю да, и когда вы платите 15 долларов в месяц, это обязательно займет много времени.","Когда вы платите $100 в месяц, это займет много времени.",ru,2
122,"Таким образом, прибыль в чистом масштабе вначале положительна, вне зависимости от того, приспособим ли мы премию заработной платы.",Первоначальные выгоды в чистом масштабе отрицательны при корректировке на премию заработной платы.,ru,2
123,"Посмотрите здесь, у вас нет бизнеса, чтобы попросить меня таким образом.","Нет никакой причины, чтобы вы просили меня так.",ru,0
124,"Эксперты отмечают, что не только возраст определяет ценность китайской древности, что династии прошлого имели свои творческие вверх и вниз.",Коллекторы основывают цену своих китайских антик от их возраста только.,ru,2
125,"Маленькие города, такие как Луизианский слой, рассеялись по Нафтовым полям; главная железнодорожная линия пересекалась между ними.",На нефтяных полях находился только один город.,ru,2
126,"Регуляторы могут не полностью поддерживать более всеобъемлющий бизнес-модель, потому что они обеспокоены тем, что информация будет основана на большом количестве суждений и, следовательно, отсутствии точности, что может затруднить выполнение стандартов отчетности.",Трудности в докладных стандартах могут стать огромной препятствием для этого бизнес-модели.,ru,0
127,"Во-первых, получите основные права, то есть блокирование и борьба с финансовой отчетности.",В первую очередь основы должны быть правильными.,ru,0
128,"В еще слабой викторианской атмосфере, Динард сохранил все лучшие активы хороших роскошных вилл и длинных, павированных прогулок, плуш-отелей, элегантных бутиц, дискотиков, казино, парков и садов, а также олимпийский общественный бассейн.","Динард поддерживает викторианскую чувствительность, а также включает элементы роскоши.",ru,0
129,"Наряду с каждым шагом, определенные практики оказались особенно важными для успеха их усилий.",Практики не помогли,ru,2
130,Но есть время.,В ней абсолютно ничего нет.,ru,2
131,"Легко передозировать на многих храмах, дворцах и музеях в Индии.",Вы найдете недостаток дворцов и храмов по всей Индии.,ru,2
132,Очень просто.,Не сложным образом.,ru,0
133,"Да, они были моей любимой командой некоторое время.",Они были моей любимой командой.,ru,0
134,"Это исторически известное озеро свежих вод, известное как Море Галилеи и озеро Киннерет (то есть озеро, по его форме), находится всего в 58 км (36 миль) в окружении.",Море Галилея также известно как озеро Киннерет в течение сотен лет.,ru,1
135,"потому что я имею в виду, что я не знаю, что это просто что-то, что я думаю, что что-то, что нам нужно","Я думаю, что мы могли бы это сделать без него, но это значительно изменило бы качество нашей жизни.",ru,2
136,Джон возвращался в город к смитю.,Джон перешел в горы.,ru,2
137,Закон о ландшафте (1) упрощает определение домашнего хозяйства,Дефиниция дома может быть упрощена.,ru,0
138,"Данные будут представлены как необходимая дополнительная информация о управлении, сопровождающая консолидированные финансовые отчеты Федерального правительства, но не в индивидуальных отчетах его компонентов.","Индивидуальные отчеты, которые сосредоточены на его компонентах, не будут включать данные.",ru,0
139,"Первоначальный спрос на землю в Новом городе не был впечатляющим; на самом деле, стимулы должны были быть предложены для привлечения покупателей.","Сначала спрос на землю в Новом городе был высоким, а недвижимость была быстро продана.",ru,2
140,"Хорошо, они так близко к неудачному неудачному сезону, что они могут попробовать его, и они хотят сделать историю, так что я не думаю, что им не хватает мотивации.","Если они не понесут какие-либо потери, они останутся мотивированными.",ru,1
141,"Таким образом, прибыль в чистом масштабе вначале положительна, вне зависимости от того, приспособим ли мы премию заработной платы.",Нето-скалевые преимущества могут со временем стать отрицательными.,ru,1
142,Это было совершенно безумно.,Это было совершенно нормально.,ru,2
143,"экономии, которые не финансировали внутренние инвестиции, увеличили бы чистые иностранные инвестиции и улучшили бы текущий баланс счетов.",Экономия может существенно и быстро увеличить чистые иностранные инвестиции.,ru,1
